"Fall 2025"
"Generated 2/27/2025, 2:04:38 PM"
,"CLSS ID","SIS ID","Term","Term Code","Department Code","Subject Code","Catalog Number","Course","Section #","Course Title","Long Title","Section Type","Title/Topic","Meeting Pattern","Meetings","Instructor","Room","Status","Session","Campus","Inst. Method","Integ. Partner","Schedule Print","Consent","Credit Hrs Min","Credit Hrs","Grade Mode","Attributes","Course Attributes","Room Attributes","Enrollment","Maximum Enrollment","Prior Enrollment","Projected Enrollment","Wait Cap","Wait Total","Rm Cap Request","Cross-listings","Cross-list Enrollment","Cross-list Maximum","Cross-list Projected","Cross-list Wait Cap","Cross-list Wait Total","Cross-list Rm Cap Request","Link To","Comments","Notes#1","Notes#2"
,"4528","16794","Fall 2025","1258","UNO-ITIN","ACMP","8006","ACMP 8006","001","SPECIAL TOPICS IN IT INNOVATION","","Seminar","","MW 1:30pm-2:45pm","MW 1:30pm-2:45pm","Wish, Ada-Rhodes (29973226) [Primary Instructor, Post, Print]","Peter Kiewit Institute 260","Active","Regular Academic Session","UNO-IS","In Person","","Yes","Instructor Consent Required","3","3","Graded","","","","0","10","","","99","0","35","See ACMP 4000-001","0","60","","198","0","70","","","",""
"ACMP 8900 - INDEPENDENT STUDIES"
,"3621","13923","Fall 2025","1258","UNO-ITIN","ACMP","8900","ACMP 8900","001","INDEPENDENT STUDIES","","Independent Study","","Does Not Meet","Does Not Meet","Ghersi, Dario (74961526) [Primary Instructor, Post, Print]","To Be Announced","Active","Regular Academic Session","UNO-IS","In Person","","Yes","Department Consent Required","1","3","Graded","","","","0","20","","","0","0","20","","","","","","","","","","",""
"ACMP 8910 - INTERNSHIP"
,"3871","15187","Fall 2025","1258","UNO-ITIN","ACMP","8910","ACMP 8910","801","INTERNSHIP","","Internship","","Does Not Meet","Does Not Meet","Ghersi, Dario (74961526) [Primary Instructor, Post, Print]","Off Campus - See Notes","Active","Regular Academic Session","UNO-IS","Off Campus","","Yes","Instructor Consent Required","1","3","Credit / No Credit","","","","0","30","","","99","0","30","","","","","","","","","","",""
"ACMP 8960 - THESIS EQUIVALENT PROJECT IN IT INNOVATION"
,"4029","15449","Fall 2025","1258","UNO-ITIN","ACMP","8960","ACMP 8960","001","THESIS EQUIVALENT PROJECT IN IT INNOVATION","","Master's Thesis","","Does Not Meet","Does Not Meet","Ghersi, Dario (74961526) [Primary Instructor, Post, Print]","To Be Announced","Active","Regular Academic Session","UNO-IS","In Person","","Yes","Department Consent Required","1","6","Satisfactory/Unsatisfactory","","","","0","5","","","99","0","5","","","","","","","","","","",""
"ACMP 8990 - THESIS"
,"3727","13715","Fall 2025","1258","UNO-ITIN","ACMP","8990","ACMP 8990","001","THESIS","","Master's Thesis","","Does Not Meet","Does Not Meet","Ghersi, Dario (74961526) [Primary Instructor, Post, Print]","To Be Announced","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","1","6","Satisfactory/Unsatisfactory","","","","0","5","","","0","0","5","","","","","","","","","","",""
"AIML 2060 - CONCEPTS OF ARTIFICIAL INTELLIGENCE"
,"4689","17150","Fall 2025","1258","UNO-CSCI","AIML","2060","AIML 2060","001","CONCEPTS OF ARTIFICIAL INTELLIGENCE","","Lecture","","TR 10:30am-11:45am","TR 10:30am-11:45am","Fandinno Garcia, Jorge (87694147) [Primary Instructor, Post, Print]","Room Assignment Pending","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","35","","","99","0","35","","","","","","","","","","",""
"AREN 1000 - DURHAM SCHOOL OF ARCHITECTURAL ENGINEERING AND CONSTRUCTION SEMINAR"
,"3589","13136","Fall 2025","1258","UNO-AE","AREN","1000","AREN 1000","001","DURHAM SCHOOL OF ARCHITECTURAL ENGINEERING AND CONSTRUCTION SEMINAR","","Lecture","","F 12:30pm-1:20pm","F 12:30pm-1:20pm","Waters, Clarence (44765071) [Primary Instructor, Post, Print]","CPACS Building 101","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","0","0","Credit / No Credit","","","","0","190","","","0","0","190","","","","","","","","","","Meets three times per semester:  
Week 3:  September 12th, 2025
Week 7:  October 10th, 2025
Week 13:  November 21st, 2025",""
"AREN 1010 - INTRODUCTION TO ARCHITECTURAL ENGINEERING"
,"33","12507","Fall 2025","1258","UNO-AE","AREN","1010","AREN 1010","001","INTRODUCTION TO ARCHITECTURAL ENGINEERING","","Lecture","","F 10:30am-12:20pm","F 10:30am-12:20pm","Ronsse, Lauren (48234522) [Primary Instructor, Post, Print]","Peter Kiewit Institute 158","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","1","1","Graded","","","","0","80","","","0","0","80","","","","","","","","","","",""
"AREN 1030 - DESIGN AND SIMULATION STUDIO I"
,"3736","15583","Fall 2025","1258","UNO-AE","AREN","1030","AREN 1030","001","DESIGN AND SIMULATION STUDIO I","","Lecture","","MW 3pm-4:15pm","MW 3pm-4:15pm","Shackelford, Todd (24904115) [Primary Instructor, Post, Print]","Peter Kiewit Institute 248","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","40","","","0","0","40","","","","","","","","","","",""
,"3737","15584","Fall 2025","1258","UNO-AE","AREN","1030","AREN 1030","002","DESIGN AND SIMULATION STUDIO I","","Lecture","","MW 4:30pm-5:45pm","MW 4:30pm-5:45pm","Shackelford, Todd (24904115) [Primary Instructor, Post, Print]","Peter Kiewit Institute 248","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","40","","","0","0","40","","","","","","","","","","",""
"AREN 3200 - LIGHTING I: FUND FOR DESIGN"
,"34","12508","Fall 2025","1258","UNO-AE","AREN","3200","AREN 3200","001","LIGHTING I: FUND FOR DESIGN","","Lecture","","MW 12:30pm-1:20pm; F 8:30am-10:20am","F 8:30am-10:20am; MW 12:30pm-1:20pm","Eble, Michelle (96256018) [Primary Instructor, Post, Print]; Eble, Michelle (96256018) [Primary Instructor, Post, Print]","Peter Kiewit Institute 130","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","38","","","0","0","38","","","","","","","","","","",""
"AREN 3300 - BUILDING ACOUSTICS FUNDAMENTALS"
,"35","12509","Fall 2025","1258","UNO-AE","AREN","3300","AREN 3300","001","BUILDING ACOUSTICS FUNDAMENTALS","","Lecture","","MW 9am-10:15am","MW 9am-10:15am","Ryherd, Erica (62771820) [Primary Instructor, Post, Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","40","","","0","0","40","","","","","","","","","","",""
"AREN 4120 - BUILDING ENERGY II: PRIMARY AND SECONDARY SYSTEMS"
,"36","12510","Fall 2025","1258","UNO-AE","AREN","4120","AREN 4120","001","BUILDING ENERGY II: PRIMARY AND SECONDARY SYSTEMS","","Lecture","","TR 10:30am-11:45am","TR 10:30am-11:45am","Liu, Xiaoqi (81973916) [Primary Instructor, Post, Print]","Peter Kiewit Institute 153","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","40","","","0","0","40","Also AREN 8940-002","0","30","","0","0","30","","","",""
"AREN 4200 - LIGHTING II: THEORY, DESIGN & APPLICATION"
,"37","12511","Fall 2025","1258","UNO-AE","AREN","4200","AREN 4200","001","LIGHTING II: THEORY, DESIGN & APPLICATION","","Lecture/Lab (combo)","","TRF 1:30pm-2:45pm","TRF 1:30pm-2:45pm","Tiller, Dale (21648874) [Primary Instructor, Post, Print]","Peter Kiewit Institute 130","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","30","","","0","0","38","Also AREN 8206-001","0","35","","0","0","35","","","",""
"AREN 4600 - SMART BUILDING SENSORS AND PROGRAMMING"
,"3756","15508","Fall 2025","1258","UNO-AE","AREN","4600","AREN 4600","001","SMART BUILDING SENSORS AND PROGRAMMING","","Lecture","","R 2:45pm-4pm","R 2:45pm-4pm; R 2:45pm-4pm","ALSaleem, Fadi (42419221) [Primary Instructor, Post, Print]; ALSaleem, Fadi (42419221) [Primary Instructor, Post, Print]","Peter Kiewit Institute 117; Peter Kiewit Institute 248","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","30","","","0","0","30","Also AREN 8600-001","0","40","","0","0","40","","","",""
,"3757","15511","Fall 2025","1258","UNO-AE","AREN","4600","AREN 4600","002","SMART BUILDING SENSORS AND PROGRAMMING","","Laboratory","","R 4:30pm-5:45pm","R 4:30pm-5:45pm; R 4:30pm-5:45pm","ALSaleem, Fadi (42419221) [Primary Instructor, Print]; ALSaleem, Fadi (42419221) [Primary Instructor, Print]","Peter Kiewit Institute 117; Peter Kiewit Institute 157","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","30","","","0","0","30","Also AREN 8600-002","0","40","","0","0","40","Any","","",""
"AREN 8010 - GRADUATE INDIVIDUAL MASTERY PROJECT I"
,"38","15643","Fall 2025","1258","UNO-AE","AREN","8010","AREN 8010","001","GRADUATE INDIVIDUAL MASTERY PROJECT I","","Lecture","","F 8:30am-10:20am","F 8:30am-10:20am","Ronsse, Lauren (48234522) [Primary Instructor, Post, Print]","Peter Kiewit Institute 161","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","2","2","Graded","","","","0","30","","","0","0","30","","","","","","","","","","",""
"AREN 8030 - INTERDISCIPLINARY TEAM DESIGN PROJECT I"
,"40","12902","Fall 2025","1258","UNO-AE","AREN","8030","AREN 8030","001","INTERDISCIPLINARY TEAM DESIGN PROJECT I","","Lecture","","F 1:30pm-5pm","F 1:30pm-5pm","Waters, Clarence (44765071) [Primary Instructor, Post, Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","4","4","Graded","","","","0","40","","","0","0","46","","","","","","","","","","",""
"AREN 8110 - INDOOR AIR QUALITY ENGINEERING"
,"41","15585","Fall 2025","1258","UNO-AE","AREN","8110","AREN 8110","001","INDOOR AIR QUALITY ENGINEERING","","Lecture","","TR 12pm-1:15pm","TR 12pm-1:15pm","Lau, Josephine (57915377) [Primary Instructor, Post, Print]","Peter Kiewit Institute 261","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","20","","","0","0","20","","","","","","","","","","",""
"AREN 8140 - BUILDING ENERGY III: ADVANCED BUILDING ENERGY SYSTEM MODELING"
,"42","12882","Fall 2025","1258","UNO-AE","AREN","8140","AREN 8140","001","BUILDING ENERGY III: ADVANCED BUILDING ENERGY SYSTEM MODELING","","Lecture","","MW 1:30pm-2:45pm","MW 1:30pm-2:45pm","Li, Haorong (28145086) [Primary Instructor, Post, Print]","Peter Kiewit Institute 248","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","20","","","0","0","36","","","","","","","","","","",""
"AREN 8206 - LIGHTING II: THEORY, DESIGN & APPLICATION"
,"43","12558","Fall 2025","1258","UNO-AE","AREN","8206","AREN 8206","001","LIGHTING II: THEORY, DESIGN & APPLICATION","","Lecture/Lab (combo)","","TRF 1:30pm-2:45pm","TRF 1:30pm-2:45pm","Tiller, Dale (21648874) [Primary Instructor, Post, Print]","Peter Kiewit Institute 130","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","5","","","0","0","5","See AREN 4200-001","0","35","","0","0","35","","","",""
"AREN 8250 - DAYLIGHTING"
,"44","12661","Fall 2025","1258","UNO-AE","AREN","8250","AREN 8250","001","DAYLIGHTING","","Lecture","","TR 9am-10:15am","TR 9am-10:15am","Tiller, Dale (21648874) [Primary Instructor, Post, Print]","Peter Kiewit Institute 248","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","20","","","0","0","36","","","","","","","","","","",""
"AREN 8260 - BUILDING COMMUNICATION SYSTEMS"
,"39","13157","Fall 2025","1258","UNO-AE","AREN","8260","AREN 8260","001","BUILDING COMMUNICATION SYSTEMS","","Lecture/Lab (combo)","","TR 10:30am-11:45am","TR 10:30am-11:45am","Alahmad, Moe (71470100) [Primary Instructor, Post, Print]","Peter Kiewit Institute 130","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","20","","","0","0","38","","","","","","","","","","",""
"AREN 8510 - MASONRY AND TIMBER DESIGN"
,"3190","15586","Fall 2025","1258","UNO-AE","AREN","8510","AREN 8510","001","MASONRY AND TIMBER DESIGN","","Lecture","","TR 3pm-4:15pm","TR 3pm-4:15pm","Roohi, Milad (71975676) [Primary Instructor, Post, Print]; Feldman, Todd (56392673) [Primary Instructor, Post, Print]","Peter Kiewit Institute 161","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","25","","","0","0","25","","","","","","","","","","",""
"AREN 8600 - SMART BUILDING SENSORS AND PROGRAMMING"
,"3780","14240","Fall 2025","1258","UNO-AE","AREN","8600","AREN 8600","001","SMART BUILDING SENSORS AND PROGRAMMING","","Lecture","","R 2:45pm-4pm","R 2:45pm-4pm; R 2:45pm-4pm","ALSaleem, Fadi (42419221) [Primary Instructor, Post, Print]; ALSaleem, Fadi (42419221) [Primary Instructor, Post, Print]","Peter Kiewit Institute 117; Peter Kiewit Institute 248","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","10","","","0","0","10","See AREN 4600-001","0","40","","0","0","40","","","",""
,"3781","14241","Fall 2025","1258","UNO-AE","AREN","8600","AREN 8600","002","SMART BUILDING SENSORS AND PROGRAMMING","","Laboratory","","R 4:30pm-5:45pm","R 4:30pm-5:45pm; R 4:30pm-5:45pm","ALSaleem, Fadi (42419221) [Primary Instructor, Print]; ALSaleem, Fadi (42419221) [Primary Instructor, Print]","Peter Kiewit Institute 117; Peter Kiewit Institute 157","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","10","","","0","0","10","See AREN 4600-002","0","40","","0","0","40","Any","","",""
"AREN 8800 - GRADUATE SEMINAR IN ARCHITECTURAL ENGINEERING AND CONSTRUCTION"
,"3192","13137","Fall 2025","1258","UNO-AE","AREN","8800","AREN 8800","001","GRADUATE SEMINAR IN ARCHITECTURAL ENGINEERING AND CONSTRUCTION","","Seminar","","F 12pm-2pm","F 12pm-2pm","Wang, Lily (60678283) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","1","1","Satisfactory/Unsatisfactory","","","","0","30","","","0","0","46","Also AREN 8800-820, CNST 993-001, CNST 993-820","0","30","","0","0","30","","","",""
,"3193","14471","Fall 2025","1258","UNO-AE","AREN","8800","AREN 8800","820","GRADUATE SEMINAR IN ARCHITECTURAL ENGINEERING AND CONSTRUCTION","","Seminar","","F 12pm-2pm","F 12pm-2pm","Wang, Lily (60678283) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","1","1","Satisfactory/Unsatisfactory","Fully Remote: Fully Remote","","","0","0","","","0","0","40","See AREN 8800-001","0","30","","0","0","30","","","",""
"AREN 8920 - INDIVIDUAL INSTRUCTION IN ARCHITECTURAL ENGINEERING"
,"45","15070","Fall 2025","1258","UNO-AE","AREN","8920","AREN 8920","001","INDIVIDUAL INSTRUCTION IN ARCHITECTURAL ENGINEERING","","Independent Study","","Does Not Meet","Does Not Meet","Yuill, David (39474083) [Primary Instructor, Post, Print]","To Be Announced","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","Department Consent Required","1","3","Graded","","","","0","10","","","0","0","10","","","","","","","","","","",""
,"46","13687","Fall 2025","1258","UNO-AE","AREN","8920","AREN 8920","003","INDIVIDUAL INSTRUCTION IN ARCHITECTURAL ENGINEERING","","Independent Study","","Does Not Meet","Does Not Meet","Alahmad, Moe (71470100) [Primary Instructor, Post, Print]","To Be Announced","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","Department Consent Required","1","3","Graded","","","","0","10","","","0","0","10","","","","","","","","","","",""
,"47","14272","Fall 2025","1258","UNO-AE","AREN","8920","AREN 8920","004","INDIVIDUAL INSTRUCTION IN ARCHITECTURAL ENGINEERING","","Independent Study","","Does Not Meet","Does Not Meet","Waters, Clarence (44765071) [Primary Instructor, Post, Print]","To Be Announced","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","Department Consent Required","1","3","Graded","","","","0","10","","","0","0","10","","","","","","","","","","",""
,"48","14900","Fall 2025","1258","UNO-AE","AREN","8920","AREN 8920","005","INDIVIDUAL INSTRUCTION IN ARCHITECTURAL ENGINEERING","","Independent Study","","Does Not Meet","Does Not Meet","Wang, Lily (60678283) [Primary Instructor, Post, Print]","To Be Announced","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","Department Consent Required","1","3","Graded","","","","0","10","","","0","0","10","","","","","","","","","","",""
,"49","15073","Fall 2025","1258","UNO-AE","AREN","8920","AREN 8920","006","INDIVIDUAL INSTRUCTION IN ARCHITECTURAL ENGINEERING","","Independent Study","MEMS MEASUREMENTS","Does Not Meet","Does Not Meet","ALSaleem, Fadi (42419221) [Primary Instructor, Post, Print]","To Be Announced","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","Department Consent Required","1","3","Graded","","","","0","10","","","0","0","10","","","","","","","","","","",""
"AREN 8940 - SPECIAL TOPICS IN ARCHITECTURAL ENGINEERING"
,"4663","17096","Fall 2025","1258","UNO-AE","AREN","8940","AREN 8940","001","SPECIAL TOPICS IN ARCHITECTURAL ENGINEERING","","Lecture","","Does Not Meet","Does Not Meet","Eble, Michelle (96256018) [Primary Instructor, Post, Print]","To Be Announced","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","Department Consent Required","3","3","Graded","","","","0","5","","","0","0","5","","","","","","","","","","",""
,"52","13019","Fall 2025","1258","UNO-AE","AREN","8940","AREN 8940","002","SPECIAL TOPICS IN ARCHITECTURAL ENGINEERING","","Lecture","BUILDING ENERGY II","TR 10:30am-11:45am","TR 10:30am-11:45am","Liu, Xiaoqi (81973916) [Primary Instructor, Post, Print]","Peter Kiewit Institute 153","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","Department Consent Required","3","3","Graded","","","","0","5","","","0","0","5","See AREN 4120-001","0","30","","0","0","30","","","",""
"AREN 8990 - MASTER'S THESIS"
,"53","12512","Fall 2025","1258","UNO-AE","AREN","8990","AREN 8990","001","MASTER'S THESIS","","Independent Study","","Does Not Meet","Does Not Meet","Lau, Josephine (57915377) [Primary Instructor, Post, Print]","To Be Announced","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","Department Consent Required","1","10","Graded","","","","0","30","","","0","0","10","","","","","","","","","","",""
,"54","13316","Fall 2025","1258","UNO-AE","AREN","8990","AREN 8990","002","MASTER'S THESIS","","Independent Study","","Does Not Meet","Does Not Meet","Alahmad, Moe (71470100) [Primary Instructor, Post, Print]","To Be Announced","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","Department Consent Required","1","10","Graded","","","","0","30","","","0","0","30","","","","","","","","","","",""
,"55","13317","Fall 2025","1258","UNO-AE","AREN","8990","AREN 8990","003","MASTER'S THESIS","","Independent Study","","Does Not Meet","Does Not Meet","ALSaleem, Fadi (42419221) [Primary Instructor, Post, Print]","To Be Announced","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","Department Consent Required","1","10","Graded","","","","0","30","","","99","0","30","","","","","","","","","","",""
,"56","13318","Fall 2025","1258","UNO-AE","AREN","8990","AREN 8990","004","MASTER'S THESIS","","Independent Study","","Does Not Meet","Does Not Meet","Wang, Lily (60678283) [Primary Instructor, Post, Print]","To Be Announced","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","Department Consent Required","1","10","Graded","","","","0","30","","","0","0","30","","","","","","","","","","",""
"AREN 9970 - RESEARCH OTHER THAN THESIS"
,"58","12513","Fall 2025","1258","UNO-AE","AREN","9970","AREN 9970","001","RESEARCH OTHER THAN THESIS","","Independent Study","","Does Not Meet","Does Not Meet","Lau, Josephine (57915377) [Primary Instructor, Post, Print]","To Be Announced","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","Department Consent Required","1","6","Graded","","","","0","20","","","0","0","20","","","","","","","","","","",""
,"59","13320","Fall 2025","1258","UNO-AE","AREN","9970","AREN 9970","002","RESEARCH OTHER THAN THESIS","","Independent Study","","Does Not Meet","Does Not Meet","ALSaleem, Fadi (42419221) [Primary Instructor, Post, Print]","To Be Announced","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","Department Consent Required","1","6","Graded","","","","0","5","","","0","0","5","","","","","","","","","","",""
,"60","13688","Fall 2025","1258","UNO-AE","AREN","9970","AREN 9970","003","RESEARCH OTHER THAN THESIS","","Independent Study","","Does Not Meet","Does Not Meet","Alahmad, Moe (71470100) [Primary Instructor, Post, Print]","To Be Announced","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","Department Consent Required","1","6","Graded","","","","0","30","","","0","0","30","","","","","","","","","","",""
,"62","13958","Fall 2025","1258","UNO-AE","AREN","9970","AREN 9970","005","RESEARCH OTHER THAN THESIS","","Independent Study","","Does Not Meet","Does Not Meet","Yuill, David (39474083) [Primary Instructor, Post, Print]","To Be Announced","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","Department Consent Required","1","6","Graded","","","","0","10","","","0","0","10","","","","","","","","","","",""
,"63","14238","Fall 2025","1258","UNO-AE","AREN","9970","AREN 9970","006","RESEARCH OTHER THAN THESIS","","Independent Study","","Does Not Meet","Does Not Meet","Wang, Lily (60678283) [Primary Instructor, Post, Print]","To Be Announced","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","Department Consent Required","1","6","Graded","","","","0","10","","","0","0","10","","","","","","","","","","",""
