
,"Term","Term Code","Department Code","Subject Code","Catalog Number","Course","Section #","Course Title","Section Type","Title/Topic","Meeting Pattern","Meetings","Instructor","Room","Status","Session","Campus","Inst. Method","Integ. Partner","Schedule Print","Consent","Credit Hrs Min","Credit Hrs","Grade Mode","Attributes","Course Attributes","Room Attributes","Enrollment","Maximum Enrollment","Prior Enrollment","Projected Enrollment","Wait Cap","Rm Cap Request","Cross-listings","Cross-list Maximum","Cross-list Projected","Cross-list Wait Cap","Cross-list Rm Cap Request","Link To","Comments","Notes#1"
,"Fall 2022","1228","UNO-AE","AREN","4940","AREN 4940","002","SPECIAL TOPICS IN ARCHITECTURAL ENGINEERING IV","Laboratory","","T 2:45pm-4pm","T 2:45pm-4pm; T 2:45pm-4pm","ALSaleem, Fadi (42419221) [Primary Instructor, Post, Print]; ALSaleem, Fadi (42419221) [Primary Instructor, Post, Print]","Peter Kiewit Institute 248; Peter Kiewit Institute 117","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","Instructor Consent Required","3","3","Graded","","","","13","15","","","0","15","Also AREN 8600-002","48","","0","48","Any","",""
,"Fall 2022","1228","UNO-AE","AREN","4940","AREN 4940","003","SPECIAL TOPICS IN ARCHITECTURAL ENGINEERING IV","Laboratory","","R 4:30pm-5:45pm","R 4:30pm-5:45pm; R 4:30pm-5:45pm","ALSaleem, Fadi (42419221) [Primary Instructor, Post, Print]; ALSaleem, Fadi (42419221) [Primary Instructor, Post, Print]","Peter Kiewit Institute 248; Peter Kiewit Institute 117","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","Instructor Consent Required","3","3","Graded","","","","1","15","","","0","15","Also AREN 8600-003","48","","0","48","Any","",""
"AREN 8030 - INTERDISCIPLINARY TEAM DESIGN PROJECT I"
,"Fall 2022","1228","UNO-AE","AREN","8030","AREN 8030","001","INTERDISCIPLINARY TEAM DESIGN PROJECT I","Lecture","","F 1:30pm-5pm","F 1:30pm-5pm","Waters, Clarence (44765071) [Primary Instructor, Post, Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","4","4","Graded","","","","27","40","","","0","46","","","","","","","PKI 164",""
"AREN 8140 - BUILDING ENERGY III: ADVANCED BUILDING ENERGY SYSTEM MODELING"
,"Fall 2022","1228","UNO-AE","AREN","8140","AREN 8140","001","BUILDING ENERGY III: ADVANCED BUILDING ENERGY SYSTEM MODELING","Lecture","","MW 2:30pm-3:45pm","MW 2:30pm-3:45pm","Li, Haorong (28145086) [Primary Instructor, Post, Print]","Peter Kiewit Institute 248","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","12","20","","","0","36","","","","","","","PKI 248",""
"AREN 8206 - LIGHTING II: THEORY, DESIGN & APPLICATION"
,"Fall 2022","1228","UNO-AE","AREN","8206","AREN 8206","001","LIGHTING II: THEORY, DESIGN & APPLICATION","Lecture/Lab (combo)","","TRF 1:30pm-2:45pm","TRF 1:30pm-2:45pm","Tiller, Dale (21648874) [Primary Instructor, Post, Print]","Peter Kiewit Institute 130","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","5","","","0","5","See AREN 4200-001","35","","0","35","","",""
"AREN 8250 - DAYLIGHTING"
,"Fall 2022","1228","UNO-AE","AREN","8250","AREN 8250","001","DAYLIGHTING","Lecture","","TR 9am-10:15am","TR 9am-10:15am","Tiller, Dale (21648874) [Primary Instructor, Post, Print]","Peter Kiewit Institute 248","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","6","20","","","0","36","","","","","","","PKI 248",""
"AREN 8260 - BUILDING COMMUNICATION SYSTEMS"
,"Fall 2022","1228","UNO-AE","AREN","8260","AREN 8260","001","BUILDING COMMUNICATION SYSTEMS","Lecture/Lab (combo)","","TR 10:30am-11:45am","TR 10:30am-11:45am","Alahmad, Mahmoud (71470100) [Primary Instructor, Post, Print]","Peter Kiewit Institute 130","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","9","20","","","0","38","","","","","","","PKI 130",""
"AREN 8330 - ADVANCED ARCHITECTURAL ACOUSTICS"
,"Fall 2022","1228","UNO-AE","AREN","8330","AREN 8330","001","ADVANCED ARCHITECTURAL ACOUSTICS","Lecture/Lab (combo)","","MW 12pm-1:15pm","MW 12pm-1:15pm","Ryherd, Erica (62771820) [Primary Instructor, Post, Print]","Peter Kiewit Institute 157","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","7","30","","","0","30","","","","","","","",""
"AREN 8426 - HEALTHCARE DESIGN AND CONSTRUCTION"
,"Fall 2022","1228","UNO-AE","AREN","8426","AREN 8426","001","HEALTHCARE DESIGN AND CONSTRUCTION","Lecture","","M 4:30pm-7pm","M 4:30pm-7pm","Sawall, Ryan (30866046) [Primary Instructor, Post, Print]; Montgomery, Kristopher (86433933) [Secondary Instructor, Post, Print]","Peter Kiewit Institute 256","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","6","18","","","0","18","See AREN 4420-001","54","","0","54","","",""
"AREN 8600 - SMART BUILDING SENSORS AND PROGRAMMING"
,"Fall 2022","1228","UNO-AE","AREN","8600","AREN 8600","001","SMART BUILDING SENSORS AND PROGRAMMING","Lecture","","R 2:45pm-4pm","R 2:45pm-4pm; R 2:45pm-4pm","ALSaleem, Fadi (42419221) [Primary Instructor, Post, Print]; ALSaleem, Fadi (42419221) [Primary Instructor, Post, Print]","Peter Kiewit Institute 248; Peter Kiewit Institute 117","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","2","10","","","0","10","See AREN 4940-001","48","","0","48","","PKI 248 + PKI 117",""
,"Fall 2022","1228","UNO-AE","AREN","8600","AREN 8600","002","SMART BUILDING SENSORS AND PROGRAMMING","Laboratory","","T 2:45pm-4pm","T 2:45pm-4pm; T 2:45pm-4pm","ALSaleem, Fadi (42419221) [Primary Instructor, Post, Print]; ALSaleem, Fadi (42419221) [Primary Instructor, Post, Print]","Peter Kiewit Institute 248; Peter Kiewit Institute 117","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","2","10","","","0","10","See AREN 4940-002","48","","0","48","Any","PKI 248 + PKI 117",""
,"Fall 2022","1228","UNO-AE","AREN","8600","AREN 8600","003","SMART BUILDING SENSORS AND PROGRAMMING","Laboratory","","R 4:30pm-5:45pm","R 4:30pm-5:45pm; R 4:30pm-5:45pm","ALSaleem, Fadi (42419221) [Primary Instructor, Post, Print]; ALSaleem, Fadi (42419221) [Primary Instructor, Post, Print]","Peter Kiewit Institute 248; Peter Kiewit Institute 117","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","10","","","0","10","See AREN 4940-003","48","","0","48","Any","PKI 248 + PKI 117",""
"AREN 8800 - GRADUATE SEMINAR IN ARCHITECTURAL ENGINEERING AND CONSTRUCTION"
,"Fall 2022","1228","UNO-AE","AREN","8800","AREN 8800","001","GRADUATE SEMINAR IN ARCHITECTURAL ENGINEERING AND CONSTRUCTION","Seminar","","F 12pm-2pm","F 12pm-2pm","Wang, Lily (60678283) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","1","1","Satisfactory/Unsatisfactory","","","","4","30","","","0","46","Also AREN 8800-820","30","","0","30","","Large room needed",""
,"Fall 2022","1228","UNO-AE","AREN","8800","AREN 8800","820","GRADUATE SEMINAR IN ARCHITECTURAL ENGINEERING AND CONSTRUCTION","Seminar","","F 12pm-2pm","F 12pm-2pm","Wang, Lily (60678283) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","1","1","Satisfactory/Unsatisfactory","Remote Learning: Remote Learning","","","0","0","","","0","40","See AREN 8800-001","30","","0","30","","",""
"AREN 8940 - SPECIAL TOPICS IN ARCHITECTURAL ENGINEERING"
,"Fall 2022","1228","UNO-AE","AREN","8940","AREN 8940","001","SPECIAL TOPICS IN ARCHITECTURAL ENGINEERING","Lecture","SIMULATION AND OPTIMIZATION","TR 4pm-5:15pm","TR 4pm-5:15pm","Lather, Jennifer (94425914) [Primary Instructor, Post, Print]","Peter Kiewit Institute 259","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","Department Consent Required","3","3","Graded","","","","3","30","","","0","30","","","","","","","",""
,"Fall 2022","1228","UNO-AE","AREN","8940","AREN 8940","004","SPECIAL TOPICS IN ARCHITECTURAL ENGINEERING","Lecture","BUILDING ENERGY II","TR 10:30am-11:45am","TR 10:30am-11:45am","Liu, Xiaoqi (81973916) [Primary Instructor, Post, Print]","Peter Kiewit Institute 153","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","Department Consent Required","3","3","Graded","","","","1","3","","","0","56","See AREN 4120-001","24","","0","24","","",""
"AREN 9970 - RESEARCH OTHER THAN THESIS"
,"Fall 2022","1228","UNO-AE","AREN","9970","AREN 9970","008","RESEARCH OTHER THAN THESIS","Lecture","","F 8:30am-10:20am","F 8:30am-10:20am","Ronsse, Lauren (48234522) [Primary Instructor, Post, Print]","Peter Kiewit Institute 161","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","Department Consent Required","1","6","Graded","","","","27","30","","","0","30","","","","","","","",""
"BIOI 1000 - INTRODUCTION TO BIOINFORMATICS"
,"Fall 2022","1228","UNO-BIOI","BIOI","1000","BIOI 1000","001","INTRODUCTION TO BIOINFORMATICS","Lecture","","TR 1:30pm-2:45pm","TR 1:30pm-2:45pm","Bastola, Dhundy (75153614) [Primary Instructor, Post, Print]","Peter Kiewit Institute 274","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","Open Nebraska: No Cost Materials; University General Education: Natural/Physical Science General Education course","University General Education: Natural/Physical Science General Education course","","12","30","","","99","30","","","","","","","",""
,"Fall 2022","1228","UNO-BIOI","BIOI","1000","BIOI 1000","099","INTRODUCTION TO BIOINFORMATICS","Lecture","","TR 9am-10:15am","TR 9am-10:15am","Cooper, Kathryn (35979329) [Primary Instructor, Post, Print]; Morrison, Lucy (19684071) [Secondary Instructor, Post, Print]","Peter Kiewit Institute 261","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","Honors Program: Honors Program Students Only; Open Nebraska: No Cost Materials; University General Education: Natural/Physical Science General Education course","University General Education: Natural/Physical Science General Education course","","15","19","","","0","19","","","","","","","The room cap is initially set to 5, to allow more seats for new students closer to Fall. However, keep the room cap request at 30. (Per discussion with Lucy Morrison)",""
"BIOI 3000 - APPLIED BIOINFORMATICS"
,"Fall 2022","1228","UNO-BIOI","BIOI","3000","BIOI 3000","001","APPLIED BIOINFORMATICS","Lecture","","M 6pm-8:40pm","M 6pm-8:40pm","Bastola, Dhundy (75153614) [Primary Instructor, Post, Print]","Peter Kiewit Institute 260","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","5","20","","","99","20","","","","","","","",""
"CIST 1010 - LEARN AND EARN: COLLEGE AND CAREER SUCCESS"
,"Fall 2022","1228","UNO-DOIS","CIST","1010","CIST 1010","001","LEARN AND EARN: COLLEGE AND CAREER SUCCESS","Seminar","","M 9am-9:50am","M 9am-9:50am","Dorn, Brian (77450871) [Primary Instructor, Post, No Print]","Peter Kiewit Institute 157","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","1","1","Satisfactory/Unsatisfactory","","","","18","20","","","99","20","","","","","","","",""
,"Fall 2022","1228","UNO-DOIS","CIST","1010","CIST 1010","002","LEARN AND EARN: COLLEGE AND CAREER SUCCESS","Seminar","","T 9am-9:50am","T 9am-9:50am","Parde, Lindsey (55464953) [Primary Instructor, Post, Print]; Dorn, Brian (77450871) [Secondary Instructor, Post, Print]","Peter Kiewit Institute 157","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","1","1","Satisfactory/Unsatisfactory","","","","19","20","","","99","20","","","","","","","",""
,"Fall 2022","1228","UNO-DOIS","CIST","1010","CIST 1010","003","LEARN AND EARN: COLLEGE AND CAREER SUCCESS","Seminar","","W 1:30pm-2:20pm","W 1:30pm-2:20pm","Sherman, Alexis (12337364) [Primary Instructor, Post, Print]; Dorn, Brian (77450871) [Secondary Instructor, Post, Print]","Peter Kiewit Institute 157","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","1","1","Satisfactory/Unsatisfactory","","","","20","20","","","99","20","","","","","","","",""
,"Fall 2022","1228","UNO-DOIS","CIST","1010","CIST 1010","004","LEARN AND EARN: COLLEGE AND CAREER SUCCESS","Seminar","","R 1:30pm-2:20pm","R 1:30pm-2:20pm","Heylmun, Carlee (30234462) [Primary Instructor, Post, Print]; Dorn, Brian (77450871) [Secondary Instructor, Post, Print]","Peter Kiewit Institute 155","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","1","1","Satisfactory/Unsatisfactory","","","","19","20","","","99","20","","","","","","","",""
,"Fall 2022","1228","UNO-DOIS","CIST","1010","CIST 1010","005","LEARN AND EARN: COLLEGE AND CAREER SUCCESS","Seminar","","T 6pm-6:50pm","T 6pm-6:50pm","Garcia-Murillo, Martha (21721442) [Primary Instructor, Post, Print]; Dorn, Brian (77450871) [Secondary Instructor, Post, Print]","Peter Kiewit Institute 157","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","1","1","Satisfactory/Unsatisfactory","","","","19","20","","","99","20","","","","","","","",""
,"Fall 2022","1228","UNO-DOIS","CIST","1010","CIST 1010","006","LEARN AND EARN: COLLEGE AND CAREER SUCCESS","Seminar","","M 1:30pm-2:20pm","M 1:30pm-2:20pm","Southall, Jeffrey (86598987) [Primary Instructor, Post, Print]; Dorn, Brian (77450871) [Secondary Instructor, Post, Print]","Peter Kiewit Institute 157","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","1","1","Satisfactory/Unsatisfactory","","","","17","20","","","99","20","","","","","","","",""
,"Fall 2022","1228","UNO-DOIS","CIST","1010","CIST 1010","007","LEARN AND EARN: COLLEGE AND CAREER SUCCESS","Seminar","","T 3pm-3:50pm","T 3pm-3:50pm","Crichton, Dusten (44625899) [Primary Instructor, Post, Print]; Dorn, Brian (77450871) [Secondary Instructor, Post, Print]","Peter Kiewit Institute 157","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","1","1","Satisfactory/Unsatisfactory","","","","12","20","","","99","20","","","","","","","",""
"CIST 1300 - INTRODUCTION TO WEB DEVELOPMENT"
,"Fall 2022","1228","UNO-DOIS","CIST","1300","CIST 1300","001","INTRODUCTION TO WEB DEVELOPMENT","Lecture","","TR 1:30pm-2:45pm","TR 1:30pm-2:45pm","Blackmore, Jeffrey (56060501) [Primary Instructor, Post, Print]","Peter Kiewit Institute 276","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","29","30","","","99","30","","","","","","","","Students will attend once a week in-person and the other day(s) will participate remotely synchronously. Your instructor will provide more details."
,"Fall 2022","1228","UNO-DOIS","CIST","1300","CIST 1300","002","INTRODUCTION TO WEB DEVELOPMENT","Lecture","","MW 4:30pm-5:45pm","MW 4:30pm-5:45pm","Blackmore, Jeffrey (56060501) [Primary Instructor, Post, Print]","Peter Kiewit Institute 260","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","25","30","","","99","30","","","","","","","","Students will attend once a week in-person and the other day(s) will participate remotely synchronously. Your instructor will provide more details."
"CIST 1400 - INTRODUCTION TO COMPUTER SCIENCE I"
,"Fall 2022","1228","UNO-DOIS","CIST","1400","CIST 1400","003","INTRODUCTION TO COMPUTER SCIENCE I","Lecture","Lecture","TR 6pm-7:15pm","TR 6pm-7:15pm","Reestman, Kyle (19654542) [Primary Instructor, Post, Print]; Fulkerson, Robert (10509563) [Secondary Instructor, Post, No Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","35","35","","","99","35","","","","","","","",""
"CIST 2100 - ORGANIZATIONS, APPLICATIONS AND TECHNOLOGY"
,"Fall 2022","1228","UNO-DOIS","CIST","2100","CIST 2100","001","ORGANIZATIONS, APPLICATIONS AND TECHNOLOGY","Lecture","","MW 12pm-1:15pm","MW 12pm-1:15pm","Ward, Kerry (78186070) [Primary Instructor, Post, Print]","Peter Kiewit Institute 252","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","University General Education: Social Science General Education course","University General Education: Social Science General Education course","","35","35","","","99","35","","","","","","","",""
,"Fall 2022","1228","UNO-DOIS","CIST","2100","CIST 2100","002","ORGANIZATIONS, APPLICATIONS AND TECHNOLOGY","Lecture","","MW 1:30pm-2:45pm","MW 1:30pm-2:45pm","Ward, Kerry (78186070) [Primary Instructor, Post, Print]","Peter Kiewit Institute 252","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","University General Education: Social Science General Education course","University General Education: Social Science General Education course","","8","30","","","0","30","","","","","","","",""
"CIST 2500 - INTRODUCTION TO APPLIED STATISTICS FOR IS&T"
,"Fall 2022","1228","UNO-DOIS","CIST","2500","CIST 2500","001","INTRODUCTION TO APPLIED STATISTICS FOR IS&T","Lecture","","TR 3pm-4:15pm","TR 3pm-4:15pm","LaLone, Nicolas (57552032) [Primary Instructor, Post, Print]","Peter Kiewit Institute 161","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","32","35","","","99","35","","","","","","","",""
,"Fall 2022","1228","UNO-DOIS","CIST","2500","CIST 2500","002","INTRODUCTION TO APPLIED STATISTICS FOR IS&T","Lecture","","TR 1:30pm-2:45pm","TR 1:30pm-2:45pm","LaLone, Nicolas (57552032) [Primary Instructor, Post, Print]","Peter Kiewit Institute 161","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","14","30","","","99","30","","","","","","","",""
"CIST 3000 - ADVANCED COMPOSITION FOR IS&T"
,"Fall 2022","1228","UNO-DOIS","CIST","3000","CIST 3000","001","ADVANCED COMPOSITION FOR IS&T","Lecture","","TR 10:30am-11:45am","TR 10:30am-11:45am","Davis, Thomas (42016345) [Primary Instructor, Post, Print]","Peter Kiewit Institute 161","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","Open Nebraska: No Cost Materials","University General Education: Writing in the Discipline Single Course","","19","20","","","99","20","","","","","","","",""
"CIST 3110 - INFORMATION TECHNOLOGY ETHICS"
,"Fall 2022","1228","UNO-DOIS","CIST","3110","CIST 3110","003","INFORMATION TECHNOLOGY ETHICS","Lecture","","M 6pm-8:40pm","M 6pm-8:40pm","Tantillo, Grace (43547635) [Primary Instructor, Post, Print]","Peter Kiewit Institute 155","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","University General Education: Humanities and Fine Arts General Education course","University General Education: Humanities and Fine Arts General Education course","","25","30","","","99","30","","","","","","","",""
"CIVE 101 - INTRODUCTION TO CIVIL ENGINEERING"
,"Fall 2022","1228","UNO-CIVE","CIVE","101","CIVE 101","001","INTRODUCTION TO CIVIL ENGINEERING","Lecture","","MWF 9:30am-10:20am","MWF 9:30am-10:20am; F 9:30am-10:20am","Hunt, George (01262741) [Primary Instructor, Post, Print]; Lane, Kaycie (37381171) [Primary Instructor, Post, Print]; Lane, Kaycie (37381171) [Secondary Instructor, Post, Print]; Hunt, George (01262741) [Secondary Instructor, Post, Print]","Peter Kiewit Institute 252; Peter Kiewit Institute 248","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Service Learning Component: Includes Service Learning Component","","","38","56","","","99","56","Also ENVE 101-001, CIVE 112-001","56","","99","56","","",""
"CIVE 102 - GEOMATICS FOR CIVIL ENGINEERING"
,"Fall 2022","1228","UNO-CIVE","CIVE","102","CIVE 102","001","GEOMATICS FOR CIVIL ENGINEERING","Lecture","","TR 1:30pm-2:20pm","TR 1:30pm-2:20pm","Williamson, Matthew (60269414) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","Department Consent Required","3","3","Graded","","","","35","45","","","0","45","Also CIVE 102-820","30","","0","30","","PKI 164",""
,"Fall 2022","1228","UNO-CIVE","CIVE","102","CIVE 102","002","GEOMATICS FOR CIVIL ENGINEERING","Laboratory","Laboratory","T 10:30am-1pm","T 10:30am-1pm","Williamson, Matthew (60269414) [Primary Instructor, Post, Print]","Peter Kiewit Institute 117","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","14","20","","","0","24","","","","","","Any","PKI 117","Must also register for CIVE 102-001."
,"Fall 2022","1228","UNO-CIVE","CIVE","102","CIVE 102","003","GEOMATICS FOR CIVIL ENGINEERING","Laboratory","Laboratory","T 3pm-5:30pm","T 3pm-5:30pm","Williamson, Matthew (60269414) [Primary Instructor, Post, Print]","Peter Kiewit Institute 153","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","21","20","","","0","24","","","","","","Any","PKI 117","Must also register for CIVE 102-001.
."
,"Fall 2022","1228","UNO-CIVE","CIVE","102","CIVE 102","820","GEOMATICS FOR CIVIL ENGINEERING","Lecture","","TR 1:30pm-2:20pm","TR 1:30pm-2:20pm","Williamson, Matthew (60269414) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","0","0","","","0","30","See CIVE 102-001","30","","0","30","","",""
"CIVE 112 - INTRODUCTION TO CIVIL ENGINEERING"
